section,claim,source_field,generating_script,value,appears_in_paper,deterministic,notes
Abstract,uncorrected estimator reads high by 19.3,M4.bias_ratio_warm^-1,src/t13/experiment.py (make reproduce-full) -> results/results.json,18.751387041824955,true,true,"paper prints 18.8; arithmetic transform of results.json fields, evaluated in check_numbers.py"
Abstract,M5 truth/estimate 0.881,M5.bias_ratio_warm,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.8286292781993112,true,true,paper prints 0.877; MISMATCH: re-derived value does not round to the printed one; read from results.json
Abstract,CI low 0.834,M5.bias_ratio_warm.ci_lo,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.8066005337407491,true,true,paper prints 0.854; MISMATCH: re-derived value does not round to the printed one; read from results.json
Abstract,CI high 0.929,M5.bias_ratio_warm.ci_hi,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.8510321939776021,true,true,paper prints 0.903; MISMATCH: re-derived value does not round to the printed one; read from results.json
Abstract,M5 quiet 0.012511,M5.quiet_for,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.012420370063452443,true,true,paper prints 0.012421; MISMATCH: re-derived value does not round to the printed one; read from results.json
Abstract,M4 quiet 0.012344,M4.quiet_for,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.012174151966457542,true,true,paper prints 0.012174; read from results.json
IV-E,Prop 2b n_exp >= 786 (eta=1),2[(1-a)+eta/3]log(2/d)/(eta^2 a),tools/check_numbers.py (closed form over stipulated constants),786,true,true,"paper prints 786; closed form; depends on stipulated constants only, no simulation input"
IV-E,Prop 2b eps >= 0.873,786/(b*L),tools/check_numbers.py (closed form over stipulated constants),0.8733333333333333,true,true,"paper prints 0.873; closed form; depends on stipulated constants only, no simulation input"
IV-E,Prop 2b n_exp >= 2748 (eta=.5),"same, eta=0.5",tools/check_numbers.py (closed form over stipulated constants),2748,true,true,"paper prints 2748; closed form; depends on stipulated constants only, no simulation input"
IV-E,Prop 2b eps >= 3.05,2748/(b*L),tools/check_numbers.py (closed form over stipulated constants),3.0533333333333332,true,true,"paper prints 3.05; closed form; depends on stipulated constants only, no simulation input"
V,alpha 0.0124,policy.alpha,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.0124,true,true,paper prints 0.0124; read from results.json
V,b 0.0200,policy.budget,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.02,true,true,paper prints 0.02; read from results.json
V,beta 0.0800,policy.block_cap,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.08,true,true,paper prints 0.08; read from results.json
V,eps 0.120,policy.epsilon,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.12,true,true,paper prints 0.12; read from results.json
V,rho 0.9975,policy.rho,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.9975,true,true,paper prints 0.9975; read from results.json
V,gamma 0.018,policy.gamma_aci,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.018,true,true,paper prints 0.018; read from results.json
V,pi_0 0.0500,policy.pi_floor,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.05,true,true,paper prints 0.05; read from results.json
V,window 45000,policy.window_max_n,src/t13/experiment.py (make reproduce-full) -> results/results.json,45000,true,true,paper prints 45000; read from results.json
V,window 240 days,policy.window_max_days,src/t13/experiment.py (make reproduce-full) -> results/results.json,240.0,true,true,paper prints 240; read from results.json
V,update every 250,policy.update_every,src/t13/experiment.py (make reproduce-full) -> results/results.json,250,true,true,paper prints 250; read from results.json
V,support 200,policy.min_support,src/t13/experiment.py (make reproduce-full) -> results/results.json,200.0,true,true,paper prints 200; read from results.json
V,AUC-PR 0.2049,scorer.auc_pr_eval,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.20485319105485797,true,true,paper prints 0.2049; read from results.json
V,AUC-ROC 0.7313,scorer.auc_roc_eval,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.731278772464939,true,true,paper prints 0.7313; read from results.json
V,covariate rel drop 0.7988,degradation.covariate.rel_drop,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.798786596830271,true,true,paper prints 0.7988; read from results.json
V,concept rel drop 0.6805,degradation.concept.rel_drop,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.6805375456967595,true,true,paper prints 0.6805; read from results.json
V,prior rel RISE 0.3233,-degradation.prior.rel_drop,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.3232602443094057,true,true,"paper prints 0.3233; arithmetic transform of results.json fields, evaluated in check_numbers.py"
V,span 561.34 d,stream_facts.span_days,src/t13/experiment.py (make reproduce-full) -> results/results.json,561.3446180555555,true,true,paper prints 561.34; read from results.json
VI,M0/M1 quiet 0.017436,M0.quiet_for,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.017366455686446798,true,true,paper prints 0.017366; read from results.json
VI,M0 over target 40.6%,(M0.quiet/alpha-1)*100,src/t13/experiment.py (make reproduce-full) -> results/results.json,40.052061987474175,true,true,"paper prints 40.1; arithmetic transform of results.json fields, evaluated in check_numbers.py"
VI,M5 over target 0.90%,(M5.quiet/alpha-1)*100,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.16427470526163557,true,true,"paper prints 0.2; arithmetic transform of results.json fields, evaluated in check_numbers.py"
VI,M4 ratio 0.0518,M4.bias_ratio_warm,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.05332938826175902,true,true,paper prints 0.0533; read from results.json
VI,M3 ratio 0.0844,M3.bias_ratio_warm,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.08884446517566326,true,true,paper prints 0.0888; read from results.json
VI,M2 ratio 0.112,M2.bias_ratio_warm,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.11626391830846872,true,true,paper prints 0.116; read from results.json
VI,M5 overstatement 13.5%,(1/ratio-1)*100,src/t13/experiment.py (make reproduce-full) -> results/results.json,20.681229388019375,true,true,"paper prints 14.0; MISMATCH: re-derived value does not round to the printed one; arithmetic transform of results.json fields, evaluated in check_numbers.py"
VI,oracle ratio 1.07,M5_oracle.bias_ratio_warm,src/t13/experiment.py (make reproduce-full) -> results/results.json,1.0862191872278957,true,true,paper prints 1.09; read from results.json
VI,M5 overall 0.02064,M5.for_overall,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.020562836850587303,true,true,paper prints 0.02068; MISMATCH: re-derived value does not round to the printed one; read from results.json
VI,M4 overall 0.02016,M4.for_overall,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.020110791538572093,true,true,paper prints 0.02011; read from results.json
VI,calib ledger 0.9816,M5.calib_w_ledger_final,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.9804203486130234,true,true,paper prints 0.9808; MISMATCH: re-derived value does not round to the printed one; read from results.json
VI,calib review 0.0158,M5.calib_w_review_final,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.017261631424237985,true,true,paper prints 0.0169; MISMATCH: re-derived value does not round to the printed one; read from results.json
VI,calib explore 0.0026,M5.calib_w_explore_final,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.0023180199627384265,true,true,paper prints 0.0023; read from results.json
VI,M5 demand 0.022695,M5.review_demand_rate,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.023135,true,true,paper prints 0.022867; MISMATCH: re-derived value does not round to the printed one; read from results.json
VI,M5 served 0.01806,M5.review_served_rate,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.018633749999999998,true,true,paper prints 0.01848; MISMATCH: re-derived value does not round to the printed one; read from results.json
VI,over-budget windows 0.44,M5.frac_blocks_demand_over_budget,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.54375,true,true,paper prints 0.52; MISMATCH: re-derived value does not round to the printed one; read from results.json
VI,M5 cost 172993,M5.cost_per_1k,src/t13/experiment.py (make reproduce-full) -> results/results.json,171921.13042464005,true,true,paper prints 173129; MISMATCH: re-derived value does not round to the printed one; read from results.json
VI,M2 cost 161420,M2.cost_per_1k,src/t13/experiment.py (make reproduce-full) -> results/results.json,160220.64599699326,true,true,paper prints 160221; read from results.json
VI,"fraud allowed 18,483,140",M5.fraud_dollars_allowed,src/t13/experiment.py (make reproduce-full) -> results/results.json,18342773.01858236,true,true,paper prints 18502948; MISMATCH: re-derived value does not round to the printed one; read from results.json
VI,"fraud total 30,002,619",M5.fraud_dollars_total,src/t13/experiment.py (make reproduce-full) -> results/results.json,30008053.044572007,true,true,paper prints 30008053; read from results.json
VI,"M0 fraud allowed 24,417,614",M0.fraud_dollars_allowed,src/t13/experiment.py (make reproduce-full) -> results/results.json,24616913.385526657,true,true,paper prints 24616913; read from results.json
VI,p50 18.62 us,M5.update_us_p50,src/t13/experiment.py (make reproduce-full) -> results/results.json,17.392729595303535,true,false,"paper prints 18.56; MISMATCH: re-derived value does not round to the printed one; wall-clock measurement; re-runs of identical work land on a different value, so this row is reproducible in method but not in digits"
VI,p99 26.47 us,M5.update_us_p99,src/t13/experiment.py (make reproduce-full) -> results/results.json,23.687364866258577,true,false,"paper prints 33.17; MISMATCH: re-derived value does not round to the printed one; wall-clock measurement; re-runs of identical work land on a different value, so this row is reproducible in method but not in digits"
VI,eps=0 ratio 0.871,ablation.epsilon[0].bias,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.8287663084988797,true,true,paper prints 0.866; MISMATCH: re-derived value does not round to the printed one; read from results.json
VI,eps=0.120 ratio 0.881,ablation.epsilon[.12].bias,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.8286292781993112,true,true,paper prints 0.877; MISMATCH: re-derived value does not round to the printed one; read from results.json
VI,delay=0 infeasible 1.0000,ablation.delay[0].infeasible,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.99875,true,true,paper prints 1.0; read from results.json
VI,delay=0 FOR 0.019487,ablation.delay[0].for_overall,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.01925805109454068,false,true,paper prints 0.019258; NOT FOUND in paper/main.tex; read from results.json
VI,M5 infeasible 0.341,M5.infeasible_rate,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.33703125,true,true,paper prints 0.321; MISMATCH: re-derived value does not round to the printed one; read from results.json
VI,M2 infeasible 0.924,M2.infeasible_rate,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.9220312500000001,true,true,paper prints 0.922; read from results.json
VI,disclose=2.4 ratio 0.669,ablation.disclose[2.4].bias,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.6787937472024083,true,true,paper prints 0.66; MISMATCH: re-derived value does not round to the printed one; read from results.json
VI,disclose=2.4 infeas 0.846,ablation.disclose[2.4].infeasible,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.7793749999999999,true,true,paper prints 0.747; MISMATCH: re-derived value does not round to the printed one; read from results.json
VI,T5 miss 0.0902,M5.topology_miss.T5,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.07811447811447812,true,true,paper prints 0.081; MISMATCH: re-derived value does not round to the printed one; read from results.json
VI,T3 miss 0.649,M5.topology_miss.T3,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.665268456375839,true,true,paper prints 0.671; MISMATCH: re-derived value does not round to the printed one; read from results.json
VI,drift miss 0.948,M5.topology_miss.D,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.9396488364567854,true,true,paper prints 0.948; MISMATCH: re-derived value does not round to the printed one; read from results.json
VI,recovery 18.32 d,M5.post_covariate_recovery_days,src/t13/experiment.py (make reproduce-full) -> results/results.json,19.110154537615756,true,true,paper prints 19.11; read from results.json
VI,ULB M5 ratio 0.944,ulb.M5.bias_ratio_warm,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.9026512374283258,true,true,paper prints 0.903; read from results.json
VI,ULB M4 ratio 0.883,ulb.M4.bias_ratio_warm,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.784754457300658,true,true,paper prints 0.785; read from results.json
VI,ULB oracle 1.27,ulb.M5_oracle.bias_ratio_warm,src/t13/experiment.py (make reproduce-full) -> results/results.json,1.210291767617214,true,true,paper prints 1.21; read from results.json
VI,ULB M5 p50 20.06 us,ulb.M5.update_us_p50,src/t13/experiment.py (make reproduce-full) -> results/results.json,19.208349008113146,true,false,"paper prints 20.06; MISMATCH: re-derived value does not round to the printed one; wall-clock measurement; re-runs of identical work land on a different value, so this row is reproducible in method but not in digits"
VI,ULB M4 p50 9.58 us,ulb.M4.update_us_p50,src/t13/experiment.py (make reproduce-full) -> results/results.json,9.148577015730552,true,false,"paper prints 9.55; MISMATCH: re-derived value does not round to the printed one; wall-clock measurement; re-runs of identical work land on a different value, so this row is reproducible in method but not in digits"
VI,ULB alpha 0.000930,stream_alpha.ulb,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.00093,true,true,paper prints 0.00093; read from results.json
